,idx,iso,ss,aperture
0,1.0,200,"0""4",f5.0
0,2.0,800,"0""4",f5.0
0,3.0,3200,"0""4",f5.0
0,4.0,12800,"0""4",f5.0
0,5.0,200,1/20,f5.0
0,6.0,800,1/20,f5.0
0,7.0,3200,1/20,f5.0
0,8.0,12800,1/20,f5.0
0,9.0,200,1/160,f5.0
0,10.0,800,1/160,f5.0
0,11.0,3200,1/160,f5.0
0,12.0,12800,1/160,f5.0
0,13.0,200,1/1250,f5.0
0,14.0,800,1/1250,f5.0
0,15.0,3200,1/1250,f5.0
0,16.0,12800,1/1250,f5.0
0,17.0,200,"0""4",f8.0
0,18.0,800,"0""4",f8.0
0,19.0,3200,"0""4",f8.0
0,20.0,12800,"0""4",f8.0
0,21.0,200,1/20,f8.0
0,22.0,800,1/20,f8.0
0,23.0,3200,1/20,f8.0
0,24.0,12800,1/20,f8.0
0,25.0,200,1/160,f8.0
0,26.0,800,1/160,f8.0
0,27.0,3200,1/160,f8.0
0,28.0,12800,1/160,f8.0
0,29.0,200,1/1250,f8.0
0,30.0,800,1/1250,f8.0
0,31.0,3200,1/1250,f8.0
0,32.0,12800,1/1250,f8.0
0,33.0,200,"0""4",f13
0,34.0,800,"0""4",f13
0,35.0,3200,"0""4",f13
0,36.0,12800,"0""4",f13
0,37.0,200,1/20,f13
0,38.0,800,1/20,f13
0,39.0,3200,1/20,f13
0,40.0,12800,1/20,f13
0,41.0,200,1/160,f13
0,42.0,800,1/160,f13
0,43.0,3200,1/160,f13
0,44.0,12800,1/160,f13
0,45.0,200,1/1250,f13
0,46.0,800,1/1250,f13
0,47.0,3200,1/1250,f13
0,48.0,12800,1/1250,f13
0,49.0,200,"0""4",f20
0,50.0,800,"0""4",f20
0,51.0,3200,"0""4",f20
0,52.0,12800,"0""4",f20
0,53.0,200,1/20,f20
0,54.0,800,1/20,f20
0,55.0,3200,1/20,f20
0,56.0,12800,1/20,f20
0,57.0,200,1/160,f20
0,58.0,800,1/160,f20
0,59.0,3200,1/160,f20
0,60.0,12800,1/160,f20
0,61.0,200,1/1250,f20
0,62.0,800,1/1250,f20
0,63.0,3200,1/1250,f20
0,64.0,12800,1/1250,f20
